20160113_0002_0068,127,8.9,17.3,8.4,0.45,0.49,301
20160112_0001_0028,84,63.1,71.5,8.4,0.50,0.47,302
20160112_0001_0013,9205,7.4,15.8,8.4,0.41,0.73,303
20141103_0001_0010,238,86.2,94.6,8.4,0.49,0.51,304
20160121_0001_0041,119,69.8,78.3,8.4,0.49,0.49,305
20160819_0002_0003,4753,230.2,238.6,8.4,0.50,0.51,306
20160819_0002_0003,3180,464.2,472.6,8.4,0.49,0.51,307
20160823_0001_0018,109,298.8,307.2,8.4,0.50,0.50,308
20160121_0001_0040,560,15.4,23.8,8.4,0.47,0.43,309
20141104_0001_0005,274,6.4,14.8,8.4,0.45,0.43,310
20160819_0002_0008,4065,131.2,139.7,8.5,0.48,0.60,311
20160819_0002_0009,1242,128.2,136.7,8.5,0.51,0.33,312
20141103_0001_0008,3610,2.4,11.0,8.6,0.45,0.57,313
20160111_0001_0016,62,259.8,268.4,8.6,0.48,0.49,314
20141103_0001_0019,2247,4.0,12.6,8.6,0.42,0.54,315
20160113_0002_0044,37,70.3,78.9,8.6,0.50,0.55,316
20141103_0001_0025,2040,20.3,28.9,8.6,0.51,0.61,317
20160113_0002_0046,486,26.4,35.1,8.6,0.48,0.49,318
20160121_0001_0027,9620,383.3,391.9,8.6,0.49,0.49,319
20160112_0001_0038,16,43.8,52.5,8.6,0.53,0.48,320
20141103_0001_0028,369,21.4,30.1,8.7,0.50,0.47,321
20160113_0002_0045,476,4.6,13.3,8.7,0.42,0.56,322
20160113_0002_0036,5010,57.0,65.7,8.7,0.47,0.48,323
20141103_0001_0008,162,99.8,108.5,8.7,0.33,0.60,324
20160112_0001_0066,146,10.6,19.3,8.7,0.46,0.44,325
20160113_0002_0064,3006,92.6,101.4,8.7,0.49,0.50,326
20160823_0001_0027,3715,141.9,150.7,8.7,0.51,0.58,327
20160823_0001_0024,919,54.0,62.8,8.8,0.48,0.51,328
20160111_0001_0030,27,71.3,80.1,8.8,0.50,0.57,329
20160819_0002_0008,1880,198.8,207.6,8.8,0.52,0.42,330
20141103_0001_0020,375,111.4,120.2,8.8,0.51,0.58,331
20141103_0001_0014,1217,219.6,228.5,8.8,0.48,0.50,332
20141103_0001_0018,470,61.4,70.3,8.8,0.47,0.52,333
20160112_0001_0037,2088,39.5,48.4,8.9,0.47,0.56,334
20160112_0001_0068,20,26.6,35.6,8.9,0.49,0.49,335
20141104_0001_0006,161,5.9,14.9,8.9,0.41,0.57,336
20160112_0001_0012,47,2.3,11.3,8.9,0.37,0.56,337
20160819_0002_0014,415,250.0,258.9,8.9,0.49,0.45,338
20160822_0001_0032,218,257.1,266.0,8.9,0.49,0.55,339
20160822_0001_0056,3023,60.9,69.9,9.0,0.47,0.46,340
20141103_0001_0008,2591,39.1,48.0,9.0,0.49,0.55,341
20160823_0001_0027,40,11.7,20.7,9.0,0.49,0.54,342
20160112_0001_0066,38,17.3,26.3,9.0,0.48,0.53,343
20160113_0002_0064,220,15.0,23.9,9.0,0.46,0.56,344
20141104_0001_0001,89,116.4,125.4,9.0,0.49,0.51,345
20160111_0001_0033,852,15.7,24.7,9.0,0.47,0.63,346
20160111_0001_0031,193,135.9,144.9,9.0,0.50,0.46,347
20160121_0001_0040,1167,93.7,102.7,9.0,0.49,0.48,348
20160113_0002_0068,11809,12.3,21.4,9.1,0.47,0.54,349
20141103_0001_0013,929,176.4,185.5,9.1,0.49,0.39,350
20160112_0001_0046,2439,3.0,12.1,9.1,0.44,0.50,351
20141104_0001_0002,2566,3.4,12.5,9.1,0.44,0.45,352
20141103_0001_0027,804,21.4,30.5,9.1,0.52,0.43,353
20141104_0001_0006,53,23.9,33.0,9.1,0.50,0.38,354
20141104_0001_0003,9,21.2,30.3,9.1,0.48,0.53,355
20141104_0001_0004,24,11.0,20.1,9.1,0.48,0.66,356
20141103_0001_0024,59,4.9,14.0,9.1,0.46,0.56,357
20141103_0001_0022,411,11.5,20.7,9.2,0.46,0.60,358
20160822_0001_0035,85,22.2,31.4,9.2,0.48,0.63,359
20160111_0001_0032,11,165.6,174.8,9.2,0.50,0.64,360
20141104_0001_0001,50,87.2,96.3,9.2,0.51,0.53,361
20160822_0001_0059,243,234.7,243.9,9.2,0.49,0.63,362
20160819_0002_0003,1807,216.9,226.1,9.2,0.51,0.49,363
20141103_0001_0026,285,119.4,128.6,9.2,0.52,0.50,364
20160823_0001_0024,1413,218.2,227.5,9.3,0.49,0.48,365
20141104_0001_0002,494,160.6,169.9,9.3,0.53,0.47,366
20160121_0001_0043,427,2.7,12.0,9.3,0.46,0.68,367
20160819_0002_0012,1234,16.1,25.4,9.3,0.50,0.53,368
20160112_0001_0026,221,34.9,44.3,9.3,0.84,0.22,369
20160819_0002_0019,429,163.3,172.6,9.3,0.51,0.40,370
20141103_0001_0026,72,49.2,58.5,9.4,0.50,0.45,371
20141104_0001_0003,720,65.3,74.7,9.4,0.50,0.53,372
20160113_0002_0033,167,43.7,53.1,9.4,0.49,0.46,373
20160823_0001_0014,4343,99.5,108.9,9.4,0.50,0.44,374
20160819_0002_0002,353,10.8,20.2,9.4,0.36,0.56,375
20160822_0001_0049,669,7.1,16.5,9.4,0.49,0.47,376
20160112_0001_0026,204,25.9,35.3,9.4,0.48,0.44,377
20160113_0002_0047,167,19.9,29.3,9.4,0.47,0.54,378
20160121_0001_0023,27,45.6,55.1,9.5,0.51,0.46,379
20160113_0002_0044,31,58.4,67.9,9.5,0.48,0.53,380
20141104_0001_0009,23,24.1,33.6,9.5,0.48,0.51,381
20160113_0002_0044,20,15.9,25.4,9.5,0.44,0.59,382
20160819_0002_0001,429,10.0,19.5,9.5,0.48,0.52,383
20160819_0002_0003,859,175.9,185.5,9.6,0.51,0.59,384
20160112_0001_0066,245,201.8,211.4,9.6,0.50,0.49,385
20141103_0001_0007,3269,1.0,10.6,9.6,0.27,0.62,386
20160822_0001_0056,2124,140.5,150.1,9.6,0.51,0.47,387
20141104_0001_0008,2,70.8,80.5,9.6,0.51,0.59,388
20141103_0001_0025,4268,203.3,213.0,9.6,0.49,0.45,389
20160113_0002_0065,80,123.7,133.4,9.7,0.48,0.50,390
